branching_factor,n_clusters,threshold,score
25,2,0.1,0.09849114312466557
25,2,0.2,0.2688624289334789
25,5,0.1,0.19621411867674468
25,5,0.2,0.3198637748204501
25,7,0.1,0.18931742466646545
25,7,0.2,0.22943517560208182
50,2,0.1,0.23201287577490984
50,2,0.2,0.2688624289334789
50,5,0.1,0.1912241821706879
50,5,0.2,0.3198637748204501
50,7,0.1,0.17921994554550474
50,7,0.2,0.22943517560208182
100,2,0.1,0.261374250905566
100,2,0.2,0.2688624289334789
100,5,0.1,0.28549208832280076
100,5,0.2,0.3198637748204501
100,7,0.1,0.23605010792558384
100,7,0.2,0.22943517560208182
150,2,0.1,0.23280566869141972
150,2,0.2,0.2688624289334789
150,5,0.1,0.2882754999060849
150,5,0.2,0.3198637748204501
150,7,0.1,0.2034076025439836
150,7,0.2,0.22943517560208182
